order_id,product_name,category,region,quantity,unit_price,total_price,order_date
ORD-0001,Wireless Mouse,Electronics,North America,3,29.99,89.97,2024-01-05
ORD-0002,USB-C Hub,Electronics,Europe,1,49.99,49.99,2024-01-08
ORD-0003,Organic Coffee Beans,Food & Beverage,Asia Pacific,5,14.99,74.95,2024-01-10
ORD-0004,Running Shoes,Apparel,North America,2,89.99,179.98,2024-01-12
ORD-0005,Bluetooth Speaker,Electronics,South America,1,79.99,79.99,2024-01-15
ORD-0006,Yoga Mat,Sports,Europe,4,24.99,99.96,2024-01-18
ORD-0007,Laptop Stand,Electronics,Asia Pacific,2,39.99,79.98,2024-01-20
ORD-0008,Green Tea Set,Food & Beverage,Asia Pacific,3,19.99,59.97,2024-01-22
ORD-0009,Wireless Keyboard,Electronics,North America,1,59.99,59.99,2024-01-25
ORD-0010,Cotton T-Shirt,Apparel,Europe,6,19.99,119.94,2024-01-28
ORD-0011,Protein Powder,Food & Beverage,North America,2,34.99,69.98,2024-02-01
ORD-0012,Noise-Canceling Headphones,Electronics,North America,1,199.99,199.99,2024-02-03
ORD-0013,Desk Lamp,Home & Office,Europe,3,29.99,89.97,2024-02-05
ORD-0014,Basketball,Sports,South America,2,34.99,69.98,2024-02-08
ORD-0015,Smartwatch,Electronics,Asia Pacific,1,249.99,249.99,2024-02-10
ORD-0016,Winter Jacket,Apparel,North America,1,129.99,129.99,2024-02-12
ORD-0017,Olive Oil Premium,Food & Beverage,Europe,4,12.99,51.96,2024-02-15
ORD-0018,Wireless Earbuds,Electronics,South America,2,69.99,139.98,2024-02-18
ORD-0019,Office Chair,Home & Office,North America,1,299.99,299.99,2024-02-20
ORD-0020,Tennis Racket,Sports,Europe,1,89.99,89.99,2024-02-22
ORD-0021,Mechanical Keyboard,Electronics,Asia Pacific,1,149.99,149.99,2024-02-25
ORD-0022,Dark Chocolate Box,Food & Beverage,Europe,8,9.99,79.92,2024-02-28
ORD-0023,Running Shoes,Apparel,South America,2,89.99,179.98,2024-03-01
ORD-0024,Webcam HD,Electronics,North America,1,79.99,79.99,2024-03-03
ORD-0025,Yoga Mat,Sports,Asia Pacific,3,24.99,74.97,2024-03-05
ORD-0026,Portable Charger,Electronics,North America,4,24.99,99.96,2024-03-08
ORD-0027,Denim Jeans,Apparel,Europe,2,49.99,99.98,2024-03-10
ORD-0028,Coffee Maker,Home & Office,North America,1,89.99,89.99,2024-03-12
ORD-0029,Organic Honey,Food & Beverage,Asia Pacific,3,15.99,47.97,2024-03-15
ORD-0030,Bluetooth Speaker,Electronics,Europe,2,79.99,159.98,2024-03-18
ORD-0031,Swim Goggles,Sports,South America,5,14.99,74.95,2024-03-20
ORD-0032,Monitor 27 inch,Electronics,North America,1,349.99,349.99,2024-03-22
ORD-0033,Wool Sweater,Apparel,Europe,2,69.99,139.98,2024-03-25
ORD-0034,Standing Desk,Home & Office,North America,1,449.99,449.99,2024-03-28
ORD-0035,Matcha Powder,Food & Beverage,Asia Pacific,6,22.99,137.94,2024-03-30
ORD-0036,Wireless Mouse,Electronics,South America,3,29.99,89.97,2024-04-02
ORD-0037,Dumbbells Set,Sports,North America,1,59.99,59.99,2024-04-05
ORD-0038,USB-C Hub,Electronics,Asia Pacific,2,49.99,99.98,2024-04-08
ORD-0039,Leather Belt,Apparel,Europe,3,29.99,89.97,2024-04-10
ORD-0040,Desk Organizer,Home & Office,North America,2,19.99,39.98,2024-04-12
